qa_id,hard_type,route_expected,route_alt,expected_action,question,expected_behavior,sentiment,ref,provenance,note
500001,경계모호,QC_EXPLAIN,USAGE,ANSWER,"읽기 속도 넘는다고 나오는데 대사를 줄여야 해요, 타이밍을 늘려야 해요?",검사 결과(읽기 속도 초과)를 들고 왔으므로 QC_EXPLAIN으로 정해진다. 줄이기·노출 시간 늘리기 둘 다 안내한다(검토 반영),m,Q-08;Q-24;U-07,합성,저작 시 유형 지정
500002,경계모호,QC_EXPLAIN,FEEDBACK,ANSWER,"검사가 말줄임표를 자꾸 잡는데 규정상 맞게 잡는 건가요, 오탐인가요?","말줄임표 검사 결과를 들고 왔다. 말줄임표 규정(한 글자 말줄임표)을 설명하고, 규정대로 썼는데 잡히면 오탐 제보를 안내한다(검토 반영)",m,Q-10;F-01,합성,저작 시 유형 지정
500003,경계모호,FEEDBACK,USAGE,ANSWER,자막 QA 눌렀는데 고쳐진 게 하나도 없어요.,문서와 다르게 동작한다는 제보라 MAPPING 규칙상 FEEDBACK. 접수하고 재현 정보를 한 번 묻는다(검토 반영),n,U-06;F-03,합성,저작 시 유형 지정
500004,경계모호,USAGE,OUT_OF_SCOPE,ANSWER,디즈니 납품 파일인데 넷플릭스 기준으로 검사 돌려도 되나요?,규정 수치가 아니라 프로파일 선택 질문이다. -p disney 프로파일이 따로 있음을 안내한다(검토 반영),m,U-04;R-04,합성,저작 시 유형 지정
500005,경계모호,STYLE_RULE,QC_EXPLAIN,ANSWER,숫자 표기 어떻게 써야 해요? 검사에서도 뭐가 나오긴 하던데,주된 질문은 숫자 표기 규정(KO-I.12)이다(검토 반영),m,Q-15;KO-I.12,합성,저작 시 유형 지정
500006,경계모호,USAGE,OUT_OF_SCOPE,ANSWER,장르를 variety로 주면 글자 수 기준이 얼마로 바뀌어요?,U-15가 장르별 수치는 비공개라 안내하지 않는다고 직접 답한다(검토 반영),m,U-15,합성,저작 시 유형 지정
500007,경계모호,OUT_OF_SCOPE,USAGE,ANSWER,한국어 교정에서 확인 필요 표시가 떴는데 그 표기가 맞춤법상 맞는 거예요?,R-03: 교정 결과의 규범 판단은 하지 않고 국립국어원으로 넘긴다(검토 반영),m,U-11;R-03,합성,저작 시 유형 지정
500008,경계모호,USAGE,FEEDBACK,CLARIFY,만든 자막 타임코드가 영상이랑 조금씩 밀려요.,스포팅 옵션 사용법 문의인지 버그 제보인지 정보가 부족해 판정이 갈리므로 되묻는다.,n,U-07;F-03,합성,저작 시 유형 지정
500009,경계모호,STYLE_RULE,USAGE,ANSWER,화면에 박힌 글자랑 대사 자막이 겹치면 어떻게 해요?,화면 글자와 대사가 겹칠 때의 규정(KO-I.8)을 묻는다. FN이 STYLE_RULE 정의에 있다(검토 반영),m,KO-I.8;U-16,합성,저작 시 유형 지정
500010,경계모호,USAGE,FEEDBACK,ANSWER,노래 가사 자막만 따로 골라서 표시해 주는 기능 있어요?,기능이 있는지만 묻는다. 문서에서 찾지 못했다고 답하고 원하면 건의 접수를 안내한다(검토 반영),m,F-05;U-04,합성,저작 시 유형 지정
