qa_id,route,split
400001,USAGE,eval
400002,USAGE,eval
400003,USAGE,eval
400004,USAGE,eval
400005,USAGE,fewshot
400006,USAGE,eval
400007,USAGE,eval
400008,USAGE,eval
400009,USAGE,fewshot
400010,USAGE,fewshot
400011,USAGE,eval
400012,USAGE,eval
400013,USAGE,eval
400014,USAGE,eval
400015,USAGE,eval
400016,USAGE,eval
400017,USAGE,eval
400018,USAGE,eval
400019,USAGE,eval
400020,USAGE,fewshot
400021,USAGE,fewshot
400022,USAGE,eval
400023,USAGE,eval
400024,USAGE,eval
400025,USAGE,fewshot
400026,USAGE,eval
400027,USAGE,eval
400028,USAGE,eval
400029,USAGE,eval
400030,USAGE,eval
400031,QC_EXPLAIN,fewshot
400032,QC_EXPLAIN,eval
400033,QC_EXPLAIN,eval
400034,QC_EXPLAIN,eval
400035,QC_EXPLAIN,fewshot
400036,QC_EXPLAIN,eval
400037,QC_EXPLAIN,eval
400038,QC_EXPLAIN,fewshot
400039,QC_EXPLAIN,eval
400040,QC_EXPLAIN,eval
400041,QC_EXPLAIN,eval
400042,QC_EXPLAIN,fewshot
400043,QC_EXPLAIN,eval
400044,QC_EXPLAIN,eval
400045,QC_EXPLAIN,eval
400046,QC_EXPLAIN,eval
400047,QC_EXPLAIN,eval
400048,QC_EXPLAIN,fewshot
400049,QC_EXPLAIN,eval
400050,QC_EXPLAIN,eval
400051,QC_EXPLAIN,eval
400052,QC_EXPLAIN,eval
400053,QC_EXPLAIN,eval
400054,QC_EXPLAIN,eval
400055,QC_EXPLAIN,eval
400056,QC_EXPLAIN,eval
400057,QC_EXPLAIN,eval
400058,QC_EXPLAIN,eval
400059,QC_EXPLAIN,eval
400060,QC_EXPLAIN,fewshot
400061,STYLE_RULE,eval
400062,STYLE_RULE,eval
400063,STYLE_RULE,eval
400064,STYLE_RULE,eval
400065,STYLE_RULE,eval
400066,STYLE_RULE,eval
400067,STYLE_RULE,fewshot
400068,STYLE_RULE,eval
400069,STYLE_RULE,eval
400070,STYLE_RULE,eval
400071,STYLE_RULE,fewshot
400072,STYLE_RULE,eval
400073,STYLE_RULE,eval
400074,STYLE_RULE,eval
400075,STYLE_RULE,eval
400076,STYLE_RULE,eval
400077,STYLE_RULE,fewshot
400078,STYLE_RULE,fewshot
400079,STYLE_RULE,eval
400080,STYLE_RULE,eval
400081,STYLE_RULE,eval
400082,STYLE_RULE,eval
400083,STYLE_RULE,eval
400084,STYLE_RULE,eval
400085,STYLE_RULE,fewshot
400086,STYLE_RULE,eval
400087,STYLE_RULE,eval
400088,STYLE_RULE,fewshot
400089,STYLE_RULE,eval
400090,STYLE_RULE,eval
400091,FEEDBACK,eval
400092,FEEDBACK,eval
400093,FEEDBACK,eval
400094,FEEDBACK,eval
400095,FEEDBACK,eval
400096,FEEDBACK,eval
400097,FEEDBACK,fewshot
400098,FEEDBACK,eval
400099,FEEDBACK,eval
400100,FEEDBACK,eval
400101,FEEDBACK,eval
400102,FEEDBACK,eval
400103,FEEDBACK,fewshot
400104,FEEDBACK,eval
400105,FEEDBACK,eval
400106,FEEDBACK,fewshot
400107,FEEDBACK,eval
400108,FEEDBACK,eval
400109,FEEDBACK,eval
400110,FEEDBACK,eval
400111,FEEDBACK,fewshot
400112,FEEDBACK,fewshot
400113,FEEDBACK,eval
400114,FEEDBACK,eval
400115,FEEDBACK,eval
400116,FEEDBACK,fewshot
400117,FEEDBACK,eval
400118,FEEDBACK,eval
400119,FEEDBACK,eval
400120,FEEDBACK,eval
400121,OUT_OF_SCOPE,fewshot
400122,OUT_OF_SCOPE,fewshot
400123,OUT_OF_SCOPE,eval
400124,OUT_OF_SCOPE,eval
400125,OUT_OF_SCOPE,fewshot
400126,OUT_OF_SCOPE,eval
400127,OUT_OF_SCOPE,eval
400128,OUT_OF_SCOPE,eval
400129,OUT_OF_SCOPE,eval
400130,OUT_OF_SCOPE,eval
400131,OUT_OF_SCOPE,eval
400132,OUT_OF_SCOPE,fewshot
400133,OUT_OF_SCOPE,eval
400134,OUT_OF_SCOPE,eval
400135,OUT_OF_SCOPE,eval
400136,OUT_OF_SCOPE,eval
400137,OUT_OF_SCOPE,eval
400138,OUT_OF_SCOPE,eval
400139,OUT_OF_SCOPE,eval
400140,OUT_OF_SCOPE,eval
400141,OUT_OF_SCOPE,eval
400142,OUT_OF_SCOPE,eval
400143,OUT_OF_SCOPE,eval
400144,OUT_OF_SCOPE,fewshot
400145,OUT_OF_SCOPE,eval
400146,OUT_OF_SCOPE,eval
400147,OUT_OF_SCOPE,eval
400148,OUT_OF_SCOPE,fewshot
400149,OUT_OF_SCOPE,eval
400150,OUT_OF_SCOPE,eval
