qa_id,category,intent_full,sentiment,question,ref,expected_tools,q_len,provenance
400001,USAGE,USAGE_실행방식_질문,m,파이썬 안 깔린 작업용 PC에서도 이 프로그램 돌릴 수 있어요?,U-01,,35,합성
400002,USAGE,USAGE_작업단계_불만,n,"3차에서 글자 수 다시 맞추느라 시간이 두 배로 드는데, 왜 1차 번역 때 글자 수를 안 맞추게 해 놨어요?",U-02,,60,합성
400003,USAGE,USAGE_역번역시점_질문,m,"역번역 검증은 1차 번역 끝나고 바로 하는 거예요, 아니면 맨 마지막에 해요?",U-02,,43,합성
400004,USAGE,USAGE_진단메뉴_질문,m,앱 설치하고 뭐가 제대로 잡혔는지 한 번에 확인하는 메뉴 같은 거 있어요?,U-03,,41,합성
400005,USAGE,USAGE_모델설치_질문,m,전사 모델이 없다고 뜨는데 제가 직접 파일을 구해서 넣으면 되나요?,U-14,,37,합성
400006,USAGE,USAGE_발주처기본값_불만,n,검사 돌릴 때마다 경고가 뜨는데 거슬려요. 발주처를 안 바꾸면 대체 어느 기준으로 검사하는 건데요?,U-04,,55,합성
400007,USAGE,USAGE_발주처기준목록_질문,m,지금 쓸 수 있는 발주처 기준이 뭐뭐 있는지 어디서 봐요?,U-04,,32,합성
400008,USAGE,USAGE_종료코드_질문,m,배치로 여러 파일 돌리는데 위반 있는 파일만 걸러내고 싶어요. 종료 코드로 구분돼요?,U-04,,47,합성
400009,USAGE,USAGE_자동확인표시_질문,m,리포트에 [자동]이랑 [확인] 붙은 거 차이가 뭐예요?,U-05,,30,합성
400010,USAGE,USAGE_리포트근거성격_질문,m,디즈니+로 검사했더니 리포트 맨 위에 official: false라고 나오던데 이거 무슨 뜻이에요?,U-05,,55,합성
400011,USAGE,USAGE_저장파일명_질문,m,저장할 때 이름을 원본이름.edited.srt 말고 제가 정한 이름으로 받을 수 있어요?,U-03,,49,합성
400012,USAGE,USAGE_교정후재검사_질문,m,"자막 QA 누르고 나서 남은 지적이 새로 보이던데, 고치고 나서 검사를 또 하는 거예요?",U-06,,49,합성
400013,USAGE,USAGE_스포팅제안_질문,m,영상 보면서 인점 아웃점 제안받고 싶은데 어떤 옵션 조합으로 돌려요?,U-07,,38,합성
400014,USAGE,USAGE_타이밍수렴순서_질문,m,타임코드 수렴을 켜면 겹침이랑 읽기 속도 중에 뭘 먼저 맞춰요? 인점도 막 옮기나요?,U-07,,47,합성
400015,USAGE,USAGE_SDH초안생성_질문,m,영상 파일 하나만 있는데 한국어 SDH 초안은 어떻게 뽑아요?,U-08,,34,합성
